ind;ringnr;tr;plats;year;date;hour;sign;sex;age;wing;tarsv;tail;wproj;fett;weigh;bill;bihe;biwi
V8-74;NA;1;Lett;92;15;13;SBH;female;35;99;32.9;83;31;4;37.4;12.6;5.2;5.2
V8-79;NA;1;Lett;92;14;11;MSN;male;35;97.5;33.2;81;28;1;33.5;12.3;5.2;5
V8-85;NA;1;Lett;92;12;12;SBH;male;35;101;32.6;80;29.5;2;36;13;5.2;5
V8-88;NA;1;Lett;92;14;10;MSN;male;35;104;34.2;82;29.5;2;34.7;13.6;5.2;5.2
V8-89;NA;1;Lett;92;14;17;SBH;male;35;97;32.8;79;30;2;32.6;12.5;4.9;5
V8-95;NA;1;Lett;92;12;10;SBH;male;35;100;32.9;79;28;2;33.4;13.1;5.2;5.2
V8-98;NA;1;Lett;92;15;15;MSN;male;35;102;33.7;83;31.5;3;36.1;13.2;5.4;5.2
V8-99;NA;1;Lett;92;11;11;SBH;male;35;103;33;81;31.5;2;33.4;12.7;5.6;5
1H-11;NA;1;Seg;92;31;6;SBH;male;35;101;32.8;77;31;2;31.8;12.8;5.1;4.8
1H-22;NA;1;Seg;92;48;11;DHT;female;35;95;32.6;73;95;2;27.9;12.3;4.6;5.2
1H-29;NA;1;Seg;92;31;9;SBH;male;35;106;34.3;83;33;2;35.3;12.5;5.1;5
1H-32;NA;1;Seg;92;33;35;DHT;male;35;104;35.2;84;30.5;1;37.2;12.3;5.3;5
1H-35;NA;1;Seg;92;33;8;DHT;female;35;100;32.6;78;30;2;33.4;12.2;5;5.2
1H-42;NA;1;Seg;92;31;10;SBH;male;35;102;33.2;81;29;1;36.8;12.2;5.2;5
1H-45;NA;1;Seg;92;33;6;DHT;male;35;103;33.1;78;30.5;1;34.4;11.7;5.4;5
1H-59;NA;1;Seg;92;33;8;DHT;male;35;102;33.1;80;29.5;1;34.5;13.1;5.2;5
1H-77;NA;1;Seg;92;33;13;DHT;male;35;102;33.7;81;30.5;2;34.8;12.8;5.3;5
1H-78;NA;1;Seg;92;48;6;DHT;male;35;100;33.1;78;29;0;31.8;11.4;5.3;5.2
2H-8;NA;1;Seg;92;31;6;SBH;male;60;106;33.1;84;33;1;34.9;13.8;5.1;5.1
H7-98;NA;1;Seg;92;57;8;SBH;female;80;99;33.5;75;NA;1;38.3;13.1;5.2;5.2
H9-01;NA;1;Seg;92;57;9;DHT;female;30;97;34.1;75;28;1;30.3;13;5.2;4.8
H9-05;NA;1;Seg;92;57;10;SBH;female;30;97;32.2;74;28;3;34;12.7;5.1;5
1H-14;NA;1;Tys;92;35;6;SBH;male;35;103;34.7;81;29;1;33.7;13;5.1;4.9
1H-18;NA;1;Tys;92;35;7;SBH;male;20;100;34;79;29;1;34.2;13.1;5.1;5
1H-79;NA;1;Tys;92;35;9;SBH;male;35;103;34.1;82;31;1;35;12.7;5.1;5.1
1H-93;NA;1;Tys;92;35;8;SBH;male;35;100;33.7;77;29;1;32.2;13.1;5;4.7
2H-38;NA;1;Kvi;93;48;12;BNN;female;70;98;32.1;77;29;1;29.8;12.2;5.1;5.1
2H-38;NA;2;Kvi;93;72;6;PFD;female;70;98;31.9;NA;NA;0;28.4;NA;NA;NA
H0-01;NA;1;Kvi;93;72;9;PRD;male;30;98;33;NA;NA;2;30.2;NA;NA;NA
H0-09;NA;1;Kvi;93;76;8;PRD;female;30;98;32.1;NA;NA;NA;29.5;NA;NA;NA
H0-27;NA;1;Kvi;93;35;12;SBH;male;30;98;34.6;76;28;2;33.9;12.8;5.1;5
H0-27;NA;2;Kvi;93;45;8;DHT;male;30;98;34.6;76;28.5;0;29.2;NA;NA;NA
H0-27;NA;3;Kvi;93;50;7;BNN;male;30;98;34.7;NA;NA;1;30.2;NA;NA;NA
H0-27;NA;4;Kvi;93;71;10;DHT;male;30;97;34.5;NA;NA;1;31.7;NA;NA;NA
H0-49;NA;1;Kvi;93;48;9;SBH;female;30;94;32.6;70;27.5;2;30.7;12.9;5.1;5.1
H0-52;NA;1;Kvi;93;10;17;BNN;male;30;104;32.9;81;31;1;34.7;12.2;5.1;5
H0-52;NA;2;Kvi;93;35;7;SBH;male;30;103;32.8;NA;NA;1;34.7;NA;NA;NA
H0-77;NA;1;Kvi;93;46;10;DHT;male;30;100;33.9;81;29.5;1;30.9;11.7;5;4.8
H0-81;NA;1;Kvi;93;39;16;AKT;female;30;95;31.1;74;26;2;30.1;12.6;5.1;5.2
H0-92;NA;1;Kvi;93;39;9;DHT;female;30;99;32.6;79;27.5;2;30.8;12.1;4.9;4.9
H1-09;NA;1;Kvi;93;30;8;AKT;female;20;96;31.2;74;26;2;32.1;11.8;4.9;4.9
H1-15;NA;1;Kvi;93;14;20;AKT;male;20;99;35.1;78;28;3;37.8;12.1;5.1;4.8
H1-22;NA;1;Kvi;93;30;11;DHT;female;20;95.3;31.9;75;28.5;2;33.2;12;5.1;5.1
H1-27;NA;1;Kvi;93;54;8;SBH;female;20;94;33.7;72;29;3;35.2;12.8;5;5
H1-51;NA;1;Kvi;93;30;14;DHT;female;20;96;33.7;73;29.5;2;36.4;12.8;5.3;5.2
H1-53;NA;1;Kvi;93;19;11;BNN;male;20;99;33.2;77;28;3;36.7;12.1;5.1;5.2
H1-82;NA;1;Kvi;93;54;6;BNN;female;20;94;33.7;76;26;2;31.9;12.9;5.2;5.1
H1-84;NA;1;Kvi;93;24;6;AKT;male;20;104;33;79;27;1;34.9;12.6;5;5.2
H1-97;NA;1;Kvi;93;28;11;DHT;male;20;99.3;33.8;79;29;1;35.6;12.9;5.4;5
H1-97;NA;2;Kvi;93;56;8;PRD;male;20;98;33.9;NA;NA;1;33.3;NA;NA;NA
H1-97;NA;3;Kvi;93;80;9;PRD;male;20;97;33.9;NA;NA;2;34.2;NA;NA;NA
H1-97;NA;4;Kvi;93;94;6;……N;male;20;98;33.9;NA;NA;0;30.7;NA;NA;NA
H1-98;NA;1;Kvi;93;33;9;SBH;male;20;101;33.6;78;29;3;36;12.3;5.3;5
H5-82;NA;1;Kvi;93;45;10;DHT;female;60;97;33;74;27.5;1;29.6;12.1;5.2;5
H5-89;NA;1;Kvi;93;35;7;BNN;male;60;100;34.8;81;29;2;36.2;12.8;5.2;5.1
H7-00;NA;1;Kvi;93;11;11;DHT;male;35;103;32.9;84;29;2;33.8;11.7;5.2;5
H7-05;NA;1;Kvi;93;28;9;BNN;male;20;105;33.2;81;29;2;34.2;13.2;5.2;5.5
H7-09;NA;1;Kvi;93;36;11;DHT;female;35;97;32;75;27.5;2;31.8;12.8;5;5
H7-11;NA;1;Kvi;93;45;7;DHT;female;45;99;32.3;78;30;0;29.5;12.1;5;5
H7-12;NA;1;Kvi;93;23;8;AKT;male;35;100;32.9;79;26;2;34.5;13.2;5.3;5.2
H7-18;NA;1;Kvi;93;36;10;DHT;male;30;102;32.6;80;29;1;34.6;12;5.1;4.9
H7-19;NA;1;Kvi;93;32;11;AKT;male;25;102;32.9;82;30;2;NA;11.9;5.1;5.1
H7-19;NA;2;Kvi;93;74;8;PFD;male;20;101;NA;NA;NA;1;33.2;NA;NA;NA
H7-3;NA;1;Kvi;93;34;8;BNN;male;80;102;34;78;29;2;33.3;12.2;5.1;4.9
H7-31;NA;1;Kvi;93;49;10;BNN;female;20;94;31.4;74;27;3;33.4;12.2;5.1;5.1
H7-32;NA;1;Kvi;93;28;11;BNN;female;20;95;33.8;75;27;NA;36.7;12.9;5.1;4.9
H7-38;NA;1;Kvi;93;13;8;BNN;male;35;100.5;33.8;79;29;2;36.6;12;5.1;4.9
H7-41;3377753;1;Kvi;93;46;10;DHT;female;45;99;33.9;78;30;0;30.6;12.5;5.1;5.1
H7-43;NA;1;Kvi;93;59;7;BNN;male;35;101;33.3;83;28;2;31.2;12.4;5.3;5.2
H7-51;NA;1;Kvi;93;40;8;SBH;female;20;95;32;NA;NA;2;31;11.1;5;4.9
H7-52;NA;1;Kvi;93;69;10;DHT;female;20;95;30.3;72;28.5;0;27.3;11.3;4.9;5
H7-54;NA;1;Kvi;93;40;9;SBH;female;35;96;32;75;NA;2;32;12.8;5;5.2
H7-73;NA;1;Kvi;93;27;7;AKT;female;35;96;33.4;72;29;3;32.1;13;4.9;5.1
H7-74;NA;1;Kvi;93;65;9;BNN;male;20;99;34.4;77;29;1;32.1;12;5.2;5.1
H7-75;NA;1;Kvi;93;51;8;SBH;female;45;101;33.2;78;29;2;33.2;13.5;5.1;4.9
H7-78;NA;1;Kvi;93;48;12;BNN;male;55;99.5;34.8;79;27.5;1;33.4;12.1;5.3;5.1
H7-80;NA;1;Kvi;93;39;8;AKT;male;45;104;32.2;83;28;2;35.4;13;5.1;5.1
H7-81;NA;1;Kvi;93;35;8;BNN;female;20;94;32.8;77;27;3;35.7;12.3;5.1;5.1
H7-82;NA;1;Kvi;93;47;13;DHT;female;55;100.3;30.9;79;30;2;29.5;12.1;5;4.8
H7-87;NA;1;Kvi;93;37;13;DHT;male;45;100;34;79;29;1;35.3;12.7;5.2;5
H7-88;NA;1;Kvi;93;45;11;DHT;female;35;97.3;32.1;75;29.5;1;30;11.5;5.1;5
H7-90;NA;1;Kvi;93;49;17;DHT;female;35;95.4;32.9;71;28;2;32.4;11.5;5;5.2
H7-92;NA;1;Kvi;93;40;7;AKT;female;35;100;30.9;77;27.5;0;32.7;12;5;5.1
H7-97;NA;1;Kvi;93;38;9;BNN;female;20;96;32.4;77;28;1;35.8;12.2;5.1;5.2
H8-25;NA;1;Kvi;93;29;11;BNN;male;50;99.5;34.2;80;28;2;38.1;13;5.3;5.2
H8-27;NA;1;Kvi;93;59;9;BNN;female;50;97;32.6;77;29;1;30.9;12.2;5;4.9
H8-72;NA;1;Kvi;93;50;9;DHT;male;50;100.6;33.6;81;29;1;33.6;12.8;5.2;5
H8-72;NA;2;Kvi;93;82;6;PRD;male;50;99;33.7;NA;NA;5;35.8;NA;NA;NA
H9-05;NA;1;Kvi;93;73;7;DHT;female;40;97;32;73;26;0;28.8;12;5.1;5
H9-85;NA;1;Kvi;93;50;8;BNN;female;40;96;31.8;76;29;1;30.3;12.2;5;4.9
H9-88;NA;1;Kvi;93;23;8;AKT;male;40;105;33;83;29;1;34.6;12.2;5.1;4.9
H9-94;NA;1;Kvi;93;46;8;BNN;female;40;98;33;79;29;2;32.1;12;5.2;5
V-57;NA;1;Kvi;93;36;11;DHT;male;50;101.3;32.9;80;29;1;33.4;12.2;5.1;4.9
V-59;NA;1;Kvi;93;32;10;AKT;female;60;97;33.5;74;29;1;30.3;13.2;5.1;5.1
V-99;NA;1;Kvi;93;39;14;DHT;male;85;104;33.3;80;31;2;35.5;13.7;5.3;5
1H-03;NA;1;Seg;93;52;9;SBH;female;35;96;31.9;75;30;3;29.7;12;4.9;5.1
1H-17;NA;1;Seg;93;19;9;AKT;female;25;95;32.1;76;28;3;34.9;12.1;5.4;5.1
1H-21;NA;1;Seg;93;22;7;AKT;male;35;99;34;75;28;1;NA;12.8;5.1;5.2
1H-30;NA;1;Seg;93;10;10;DHT;male;35;100;34.5;76;29.5;3;34.9;12.8;5.2;5
1H-30;NA;2;Seg;93;43;10;DHT;male;35;100;34.2;76;30.5;0;32.6;11.9;5.1;5
1H-45;NA;1;Seg;93;49;7;SBH;male;45;102;33;78;31;2;33.9;11.8;5.3;5.1
1H-51;NA;1;Seg;93;45;15;BNN;female;35;99;33.8;77;29;1;31.4;12.8;5.2;5.1
1H-54;NA;1;Seg;93;19;7;AKT;female;25;96;32;75;27;3;33.9;12.3;4.7;5
1H-55;NA;1;Seg;93;24;10;BNN;male;55;103;33.8;83;28;2;36.6;13.4;5.2;5.5
1H-58;NA;1;Seg;93;51;9;BNN;female;35;96;31.7;75;28;2;NA;13.1;5.1;5.1
1H-59;NA;1;Seg;93;17;8;DHT;male;45;102;33.5;81;29.5;2;34.1;13.3;5.5;5
1H-73;NA;1;Seg;93;32;8;DHT;female;35;100;31.7;76;30;2;33.2;12.1;5.2;5.2
1H-83;NA;1;Seg;93;54;9;BNN;male;20;99;33.7;77;27;3;33.9;12.8;5.3;5
1H-84;NA;1;Seg;93;32;10;DHT;female;35;99;30.4;80;30;4;32.7;12.1;5.2;5
1H-85;NA;1;Seg;93;25;9;AKT;female;35;101;33.9;79;29;5;34;12.3;5;5.1
1H-89;NA;1;Seg;93;23;8;DHT;female;35;98;33.2;77;28;3;33.9;13.1;5.2;5.4
1H-90;NA;1;Seg;93;41;9;AKT;male;20;100;32.9;80;29;1;33.4;12.3;5.1;5.1
1H-95;NA;1;Seg;93;17;11;DHT;female;35;94.3;31.9;74;27;3;28.6;11.9;5.2;5
1H-97;NA;1;Seg;93;17;8;DHT;male;35;102.4;32.9;81;31;3;35.8;12;5.3;5
1V-98;NA;1;Seg;93;18;10;BNN;male;75;99.5;33.8;78;30;1;NA;12.8;5.2;5.1
H0-22;NA;1;Seg;93;21;14;DHT;male;30;105;33.6;82;29.5;1;40.8;13;5.5;5.2
H0-22;NA;2;Seg;93;45;15;BNN;male;30;NA;NA;NA;NA;1;33.7;NA;NA;NA
H0-28;NA;1;Seg;93;21;9;BNN;female;30;96;32.8;74;27;3;33.7;12.5;5.2;5.1
H0-28;NA;2;Seg;93;48;10;DHT;female;30;97;32.8;75;27;1;30;12.4;5.3;4.9
H5-99;NA;1;Seg;93;48;9;DHT;male;60;103;33.2;80;30;2;34.1;12.7;5.5;5.3
H7-89;NA;1;Seg;93;25;10;AKT;male;30;102;33.9;81;28;1;32.7;12.9;5.1;5.2
H9-22;NA;1;Seg;93;43;10;DHT;female;40;99;33.5;76;28;3;38.8;11.9;5.1;5
1H-05;NA;1;Tys;93;36;6;SBH;male;35;103;33.5;80;31;1;37.2;13;5.1;5
1V-33;NA;1;Kra;94;25;6;SBH;male;20;101;34.1;77;31;1;34.7;13.2;5.2;4.8
1H-2;NA;1;Kvi;94;30;17;DHT;male;30;100;34.2;78;30;2;35.3;13;5;5.2
1H-5;NA;2;Kvi;94;25;11;;female;35;100;33.4;78;30;3;34.6;12.2;5.3;5.6
1H-5;NA;1;Kvi;94;54;NA;AKT;female;35;100;33.2;77;29;1;30.4;12.2;5.1;5.1
1H-5;NA;3;Kvi;94;66;7;AKT;female;35;99;33.2;76;29.5;2;29.9;11.9;5.1;5.3
H0-27;NA;1;Kvi;94;41;9;SBH;male;35;98.8;34.5;76;30;1;32.6;12.7;5.1;5
H0-49;NA;1;Kvi;94;48;11;AKT;female;40;94;32.6;70;27;2;31.6;13.1;5.2;4.9
H0-52;NA;1;Kvi;94;42;11;BNN;male;40;103;33;80;30;2;32.8;12.1;5.2;5.1
H0-81;NA;1;Kvi;94;11;11;SBH;female;40;95;31.1;74;29;3;30.7;12.8;5.1;5.1
H0-81;NA;2;Kvi;94;44;9;AKT;female;30;94;31.1;74;29;1;28.2;12.8;5.1;5.1
H0-92;NA;1;Kvi;94;11;8;SBH;female;40;100;32.7;77;31;4;31.3;12;5;5
H1-17;NA;1;Kvi;94;27;10;DHT;male;30;102;34.3;79;29;2;35.3;13.4;5.3;5.5
H1-23;NA;1;Kvi;94;49;11;AKT;female;30;97;32.7;76;28;2;32.5;12.1;5.1;5.2
H1-23;NA;2;Kvi;94;91;8;BNN;female;30;98;32.7;74;30;2;29.8;NA;NA;NA
H1-50;NA;1;Kvi;94;11;8;SBH;male;30;101;33.6;81;32;2;32.5;13.1;5.1;5
H1-50;NA;2;Kvi;94;62;9;AKT;male;30;101;33.4;80;29;2;32.9;13;5.2;5.1
H1-51;NA;1;Kvi;94;47;7;SBH;female;30;94.5;33.6;72;28.5;2;35.6;12.8;5.3;5.1
H1-53;NA;1;Kvi;94;36;10;SBH;male;30;100;33.7;77;31;2;36.8;12.5;5.2;5
H1-98;NA;1;Kvi;94;32;12;SBH;male;30;103;33.6;82;30;1;NA;12.4;5.3;4.9
H2-05;NA;1;Kvi;94;30;7;DHT;male;20;101;33.9;79;29;2;33.7;12.3;5.2;5
H2-09;NA;1;Kvi;94;27;13;MHN;female;20;94;33;NA;28;NA;30;12;5;4.9
H2-17;NA;1;Kvi;94;45;6;SBH;female;20;94;32.6;73;27;2;33.4;12.1;5;4.9
H2-25;NA;1;Kvi;94;30;8;SBH;male;20;100;34.9;78;29;1;34;12.1;5.1;5
H2-28;NA;1;Kvi;94;30;8;SBH;male;20;100;33.6;79;29;1;34.8;12.8;5;5
H2-59;NA;1;Kvi;94;22;9;DHT;male;20;100.6;35.45;80;29.5;1;38;14.1;5.5;5.5
H2-99;NA;1;Kvi;94;33;10;DHT;female;20;96;32.75;73;28;1;34.4;12.3;5.1;5
H2-99;NA;2;Kvi;94;62;7;AKT;female;20;95.5;32.9;72;NA;3;30.4;12.2;5;5.2
H5-79;NA;1;Kvi;94;59;9;BNN;female;70;94;32.1;75;28;NA;NA;12.3;NA;NA
H5-89;NA;1;Kvi;94;41;7;SBH;male;35;100;34.8;81;30;1;35.3;12.2;5.1;4.9
H7-00;NA;1;Kvi;94;25;12;DHT;male;35;103;33;83;29;1;33;11.8;5.3;5
H7-00;NA;2;Kvi;94;40;10;SBH;male;35;103;32.9;83;29.5;1;30.8;11.6;5.2;5.1
H7-01;NA;1;Kvi;94;30;10;DHT;male;35;100;33.2;76;30;1;34.3;12.6;5.4;5.2
H7-03;NA;1;Kvi;94;40;6;SBH;female;20;95;30.8;73;30;2;30.8;11.8;4.8;4.8
H7-07;NA;1;Kvi;94;32;11;SBH;female;35;96;33.1;74;29;3;33.4;12.8;5.2;5
H7-08;NA;1;Kvi;94;14;8;SBH;male;35;100;34.7;78;31;1;34.6;12.8;5.1;4.9
H7-11;NA;1;Kvi;94;40;9;SBH;female;35;100;32.3;77;30;3;31;11.9;5;4.8
H7-13;NA;1;Kvi;94;30;12;DHT;male;35;99;33.45;78;29.5;1;34.2;12.1;5.2;4.9
H7-18;NA;1;Kvi;94;47;8;AKT;male;40;102;32.9;79;29;2;35.2;12;5.1;5
H7-19;NA;1;Kvi;94;42;11;SBH;male;35;103;32.9;82;29.5;1;35.8;12;5;5
H7-31;NA;1;Kvi;94;62;9;AKT;female;35;94;31.1;75;28;3;34.7;12.1;5.2;5.3
H7-34;NA;1;Kvi;94;15;17;BHN;male;20;98;34;75;28;2;34.7;11.8;5.5;4.7
H7-38;NA;1;Kvi;94;42;12;SBH;male;35;99.6;33.8;79;29;1;34.5;12;5.2;4.8
H7-38;NA;2;Kvi;94;62;9;AKT;male;35;99;33.6;79;29;3;33.6;12.4;5.3;4.9
H7-40;3395938;1;Kvi;94;28;8;MHN;female;20;93;31.5;NA;27.5;0;30.4;12;4.9;4.9
H7-41;3377753;1;Kvi;94;45;8;SBH;female;35;98;34;76;29;2;32.2;12.3;4.9;5
H7-43;NA;1;Kvi;94;32;12;SBH;male;35;103;33.2;83;30;1;32.7;11.8;5;4.9
H7-52;NA;1;Kvi;94;65;8;BNN;female;30;98;30.8;73;27;1;28.4;12.1;5.1;5.2
H7-54;NA;1;Kvi;94;41;14;BNN;female;35;97;32.1;78;28;1;38.7;12.6;5.3;5.2
H7-74;NA;1;Kvi;94;34;6;SBH;male;30;103;34.8;80;31.5;1;34.2;11.8;5;4.9
H7-74;NA;2;Kvi;94;67;9;BNN;male;30;102;34.4;81;31;0;31.2;11.8;5.1;5
H7-78;NA;1;Kvi;94;39;7;SBH;male;45;98.3;34.9;78;28.5;1;34.7;12.3;5.1;5
H7-79;NA;1;Kvi;94;33;8;DHT;female;35;95;32.55;72;28.5;1;34.7;12.8;5.2;5.2
H7-84;NA;1;Kvi;94;22;7;BNN;male;35;99;34.3;77.5;27.5;1;33.7;13.8;5.3;5.3
H7-93;NA;1;Kvi;94;13;18;BHN;male;35;99;35;77;27;3;35.4;13.8;5.4;4.9
H7-94;NA;1;Kvi;94;44;7;SBH;female;20;94;32.2;73;28;2;30.7;12.9;4.9;4.8
H7-95;NA;1;Kvi;94;48;10;SBH;female;35;97;33.9;75;30;2;34;12.8;5.1;5
H7-97;NA;1;Kvi;94;54;7;LWG;female;NA;97;32.2;76;29;2;31.9;12.3;5.2;5.2
H8-25;NA;1;Kvi;94;28;8;BNN;male;35;100;34.1;77;28.5;1;37.2;13.8;5.2;5.3
H8-72;NA;2;Kvi;94;27;13;DHT;male;35;102.6;33.6;81;29;3;36.8;12.9;5.4;4.9
H8-72;NA;1;Kvi;94;33;8;DHT;male;35;102;33.8;81;29;1;35.8;12.7;5.3;4.9
H8-88;NA;1;Kvi;94;33;10;DHT;male;35;103;33.75;80;29;1;34.1;11.8;5;5.3
H9-22;NA;1;Kvi;94;68;10;AKT;female;50;98;33;73;27.5;1;29.5;12.3;5.2;5.1
H9-85;NA;1;Kvi;94;45;8;LWG;female;50;95;31.4;75;29;2;30.2;12.5;5.1;5
V-57;NA;1;Kvi;94;35;10;SBH;male;35;100.8;32.8;79;29;1;33.4;12;5.1;4.8
V9-73;NA;1;Ess;95;91;9;TAN;male;20;102;NA;73;NA;2;37.4;NA;NA;NA
1H-39;NA;1;Ask;95;32;11;DHT;male;35;100;33.6;81;28.5;1;35.7;12.7;5.2;5.3
1H-48;NA;1;Ask;95;32;9;DHT;male;35;104;35.7;82;31;1;37.3;12.7;5.4;5.2
1H-87;NA;1;Ask;95;32;13;DHT;male;35;100;33.9;77;30;2;35.1;12.2;5;5.1
1V-05;NA;1;Bjo;95;41;11;BNN;male;35;101;34;81;27;1;36.8;NA;NA;NA
1V-18;NA;1;Bjo;95;46;18;……N;female;35;96;31.7;77;NA;2;32.2;12.8;5;4.8
H3-82;NA;1;Bjo;95;46;18;BHN;male;20;101;33.1;81;26;1;35.8;12.7;5.5;5
H7-34;NA;1;Bjo;95;46;19;BNN;male;30;99.5;33.8;77;29;1;34.6;12.2;5.2;5.1
1H-53;NA;1;Kvi;95;22;10;BNN;male;NA;106;32.9;81;29.5;1;36.7;12.2;5.3;5.1
2H-97;3395918;1;Kvi;95;61;8;BNN;female;30;96;32.1;75;28;1;29.1;12.7;5;5.2
H0-27;NA;1;Kvi;95;46;9;BHN;male;35;98;34.4;78;27;0;31.4;11.8;5.1;5.1
H0-49;NA;1;Kvi;95;87;6;JSD;female;50;95;32.9;NA;NA;3;32;NA;NA;NA
H0-81;NA;1;Kvi;95;45;8;BHN;female;40;95;31.2;74;26.5;1;29.3;12.5;5.2;5.2
H1-19;NA;1;Kvi;95;37;10;BHN;male;40;102;35;80;29;1;36.2;11.9;5.2;5
H1-23;NA;1;Kvi;95;29;11;BHN;female;35;98;32.8;78;NA;1;34;11.5;5;4.6
H1-24;NA;1;Kvi;95;47;9;……N;female;30;98;34.1;73;NA;3;35.3;12.1;5.2;5.4
H1-50;NA;1;Kvi;95;44;12;BNN;male;40;101.5;33.4;78;29;0;NA;13.1;5.1;5.2
H1-51;NA;1;Kvi;95;54;5;PRD;female;35;95;33.6;NA;29;2;31.6;13;5.2;5.7
H2-03;NA;1;Kvi;95;54;6;……N;female;30;96;33.2;77;27;1;32.8;12.9;5.2;5.1
H2-03;NA;2;Kvi;95;74;7;……N;female;30;96;33.2;76;26;2;NA;NA;NA;NA
H2-03;NA;2;Kvi;95;76;6;……N;female;30;97;33.2;76;26;3;30;13;5.1;5.1
H2-03;NA;2;Kvi;95;84;6;TAN;female;35;97;33.1;NA;NA;1;NA;NA;5.7;6.2
H2-09;NA;1;Kvi;95;51;NA;BNN;female;30;94.5;32.9;72;27;3;31.7;12.3;5;5.1
H2-09;NA;2;Kvi;95;54;NA;BNN;female;30;94;33.1;74;26;1;NA;12.3;4.9;5.1
H2-17;NA;1;Kvi;95;58;12;DHT;female;30;97;32.9;77;27.5;3;32.8;NA;NA;NA
H2-25;NA;1;Kvi;95;58;12;BNN;male;30;101.5;35;80;28;1;33.1;12.8;5.3;5.1
H2-28;NA;1;Kvi;95;27;11;BHN;male;35;101;34;81;NA;1;34.7;11.7;5;4.9
H2-28;NA;2;Kvi;95;37;9;……N;male;30;101;34;81;32;1;35.3;NA;5.1;5.2
H2-33;NA;1;Kvi;95;23;7;BHN;female;30;99;32.5;NA;NA;1;33.5;12.5;5;5
H2-38;NA;1;Kvi;95;24;9;BNN;female;30;97.5;31.9;75;27;1;32.2;12.3;5.1;5.2
H2-38;NA;2;Kvi;95;73;9;LRG;female;30;95;31.9;74;26;1;29.5;12.8;5.1;5.1
